Altium Designer Pick and Place Locations
C:\Git\Redako-L4N\Hardware\Project Outputs for L4N-24VDimmer\Pick Place for L4N-24VDimmer.csv

========================================================================================================================
File Design Information:

Date:       30/12/24
Time:       13:22
Revision:   2649f4d464ef846ba8fb93f1f2f80dc459d318f0
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"S5","TopLayer","13.5000","-19.8500","90"
"S4","TopLayer","13.5000","-10.8500","90"
"S3","TopLayer","13.5000","-1.8500","90"
"S2","TopLayer","13.5000","7.1500","90"
"S1","TopLayer","13.5000","17.5000","270"
"D1","TopLayer","9.0500","-23.3500","180"
"R5","TopLayer","2.4000","-17.5000","0"
"R4","TopLayer","-2.4000","-17.5000","180"
"D11","TopLayer","0.0000","14.6700","0"
"U1","TopLayer","0.0000","0.0000","0"
"C136","TopLayer","-5.6000","3.4600","270"
"C124","TopLayer","-38.9000","-10.4500","0"
"R3","TopLayer","-25.0500","-3.3000","180"
"R2","TopLayer","-22.1500","2.0000","180"
"C11","TopLayer","-39.0500","6.4500","180"
"P1","TopLayer","-22.1500","-2.0000","270"
"U5","TopLayer","-34.1434","-2.0000","90"
"C9","TopLayer","-26.8000","11.4200","90"
"C6","TopLayer","-2.2000","17.3200","270"
"U2A","TopLayer","18.9500","-17.8500","0"
"U2B","TopLayer","18.9500","-8.8500","0"
"U2C","TopLayer","18.9500","0.1500","0"
"R1A","TopLayer","21.0500","-17.8500","0"
"R1B","TopLayer","21.0500","-8.8500","0"
"R1C","TopLayer","21.0500","0.1500","0"
"Q1A","TopLayer","23.0000","-17.8500","0"
"Q1B","TopLayer","23.0000","-8.8500","0"
"Q1C","TopLayer","23.0000","0.1500","0"
"F1A","TopLayer","18.9500","-20.6000","0"
"F1B","TopLayer","18.9500","-11.6000","0"
"F1C","TopLayer","18.9500","-2.6000","0"
"D5A","TopLayer","26.1000","-19.8500","270"
"D5B","TopLayer","26.1000","-10.8500","270"
"D5C","TopLayer","26.1000","-1.8500","270"
"C1A","TopLayer","22.9500","-21.8500","90"
"C1B","TopLayer","22.9500","-12.8500","90"
"C1C","TopLayer","22.9500","-3.8500","90"
"J9","TopLayer","0.0000","-21.0000","0"
"D5D","TopLayer","26.1000","7.1500","270"
"U4","TopLayer","-35.0904","16.3800","180"
"C4","TopLayer","-25.6500","11.4200","270"
"F4","TopLayer","-16.7000","-17.6250","270"
"PS1","BottomLayer","-0.2000","-0.3750","0"
"F3","TopLayer","21.7499","15.0500","270"
"F2","TopLayer","19.4500","15.0500","270"
"D4","TopLayer","31.1500","23.0000","180"
"D2","TopLayer","34.9500","19.4000","90"
"U3","TopLayer","0.0000","17.3200","270"
"C3","TopLayer","-0.5000","19.8200","180"
"C2","TopLayer","2.2000","17.3200","270"
"J8","TopLayer","-25.6750","-17.6250","0"
"U2D","TopLayer","18.9500","9.1500","0"
"R1D","TopLayer","21.0500","9.1500","0"
"Q1D","TopLayer","23.0000","9.1500","0"
"F1D","TopLayer","18.9500","6.4000","0"
"C1D","TopLayer","22.9500","5.1500","90"
"F5","TopLayer","36.1000","23.0500","0"
"C10","TopLayer","31.1500","20.9000","180"
"C7","TopLayer","24.0500","15.0500","270"
"C8","TopLayer","26.3500","15.0500","270"
"R16","TopLayer","0.0000","13.6200","0"
"U6","TopLayer","31.1500","16.1500","90"
"R14","TopLayer","33.5000","11.9000","0"
"R13","TopLayer","31.6000","11.9000","0"
"C5","TopLayer","28.1000","16.1500","90"
"L1","TopLayer","25.2000","20.6500","270"
"J5","TopLayer","33.9250","-19.8500","180"
"J4","TopLayer","33.9250","-10.8500","180"
"J3","TopLayer","33.9250","-1.8500","180"
"J2","TopLayer","33.9250","7.1500","180"
"R111","TopLayer","-1.5500","6.5500","180"
"H15","TopLayer","0.0000","10.3850","0"
"C156","TopLayer","-2.5000","5.6000","180"
"C132","TopLayer","0.5000","-5.6000","0"
"C123","TopLayer","5.6000","2.5500","90"
"C122","TopLayer","2.5000","-5.6000","0"
"C121","TopLayer","-2.0000","8.1500","180"
